Coupon,Filename,Page 
PUZZLEA1,can-you-find-me-prek,47
PUZZLEA2,thinker-doodles-beginning,6
PUZZLEA3,mathematical-reasoning-beginning-1,198
PUZZLEA4,mind-benders-level-1,4
PUZZLEA5,building-thinking-skills-beginning,43
PUZZLEA6,dr-dooriddles-a1,4
PUZZLEA7,building-thinking-skills-beginning,47
PUZZLEA8,fun-time-phonics,1
PUZZLEA9,mathematical-reasoning-beginning-1,196
PUZZLEA10,can-you-find-me-prek,57
PUZZLEA11,thinker-doodles-beginning,16
PUZZLEA12,mind-benders-level-1,5
PUZZLEA13,dr-dooriddles-a1,10
PUZZLEA14,building-thinking-skills-beginning,72
PUZZLEA15,can-you-find-me-prek,69
PUZZLEA16,thinker-doodles-beginning,18
PUZZLEA17,mathematical-reasoning-beginning-1,212
PUZZLEA18,mind-benders-level-1,8
PUZZLEA19,building-thinking-skills-beginning,54
PUZZLEA20,fun-time-phonics,64
PUZZLEA21,can-you-find-me-prek,76
PUZZLEA22,thinker-doodles-beginning,21
PUZZLEA23,mathematical-reasoning-beginning-1,224
PUZZLEA24,mind-benders-level-1,12
PUZZLEA25,building-thinking-skills-beginning,59
PUZZLEA26,dr-dooriddles-a1,11
PUZZLEA27,fun-time-phonics,68
PUZZLEA28,can-you-find-me-prek,60
PUZZLEA29,fun-time-phonics,74
PUZZLEA30,mathematical-reasoning-beginning-2,6
PUZZLEA31,thinker-doodles-beginning,20
PUZZLEA32,mind-benders-level-1,14
PUZZLEA33,dr-dooriddles-a2,4
PUZZLEA34,building-thinking-skills-beginning,74
PUZZLEA35,can-you-find-me-prek,66
PUZZLEA36,thinker-doodles-beginning,25
PUZZLEA37,mathematical-reasoning-beginning-2,14
PUZZLEA38,mind-benders-level-1,22
PUZZLEA39,building-thinking-skills-beginning,98
PUZZLEA40,fun-time-phonics,80
PUZZLEA41,can-you-find-me-prek,47
PUZZLEA42,thinker-doodles-beginning,22
PUZZLEA43,mathematical-reasoning-beginning-2,20
PUZZLEA44,mind-benders-level-1,27
PUZZLEA45,building-thinking-skills-beginning,121
PUZZLEA46,dr-dooriddles-a2,12
PUZZLEA47,fun-time-phonics,86
PUZZLEA48,mathematical-reasoning-beginning-2,31
PUZZLEA49,can-you-find-me-prek,91
PUZZLEA50,thinker-doodles-beginning,32
PUZZLEA51,mind-benders-level-1,30
PUZZLEA52,mathematical-reasoning-beginning-2,36
PUZZLEB1,mind-benders-level-2,9
PUZZLEB2,can-you-find-me-k-1,21
PUZZLEB3,balance-benders-beginning,3
PUZZLEB4,editor-in-chief-beginning-1,16
PUZZLEB5,mathematical-reasoning-level-b,234
PUZZLEB6,language-smarts-level-b,264
PUZZLEB7,math-analogies-level-1,21
PUZZLEB8,balance-math-&-more-level-1,3
PUZZLEB9,mind-benders-level-2,11
PUZZLEB10,can-you-find-me-k-1,29
PUZZLEB11,balance-benders-beginning,5
PUZZLEB12,editor-in-chief-beginning-1,18
PUZZLEB13,mathematical-reasoning-level-b,249
PUZZLEB14,language-smarts-level-b,9
PUZZLEB15,math-analogies-level-1,27
PUZZLEB16,building-thinking-skills-level-1,37
PUZZLEB17,balance-math-&-more-level-1,5
PUZZLEB18,dr-dooriddles-a2,14
PUZZLEB19,dr-funsters-think-a-minutes-a1,13
PUZZLEB20,half-n-half-animals-a1,10
PUZZLEB21,mind-benders-level-2,13
PUZZLEB22,can-you-find-me-k-1,38
PUZZLEB23,balance-benders-beginning,7
PUZZLEB24,editor-in-chief-beginning-1,21
PUZZLEB25,mathematical-reasoning-level-b,83
PUZZLEB26,language-smarts-level-b,108
PUZZLEB27,math-analogies-level-1,4
PUZZLEB28,building-thinking-skills-level-1,211
PUZZLEB29,balance-math-&-more-level-1,6
PUZZLEB30,dr-dooriddles-a3,13
PUZZLEB31,dr-funsters-think-a-minutes-a1,20
PUZZLEB32,half-n-half-animals-a1,5
PUZZLEB33,mind-benders-level-2,15
PUZZLEB34,can-you-find-me-k-1,39
PUZZLEB35,balance-benders-beginning,9
PUZZLEB36,editor-in-chief-beginning-1,24
PUZZLEB37,mathematical-reasoning-level-b,252
PUZZLEB38,language-smarts-level-b,222
PUZZLEB39,math-analogies-level-1,7
PUZZLEB40,building-thinking-skills-level-1,40
PUZZLEB41,balance-math-&-more-level-1,9
PUZZLEB42,dr-dooriddles-a3,15
PUZZLEB43,dr-funsters-think-a-minutes-a1,21
PUZZLEB44,half-n-half-animals-a1,6
PUZZLEB45,mind-benders-level-2,28
PUZZLEB46,can-you-find-me-k-1,51
PUZZLEB47,balance-benders-beginning,10
PUZZLEB48,editor-in-chief-beginning-1,25
PUZZLEB49,mathematical-reasoning-level-b,245
PUZZLEB50,language-smarts-level-b,270
PUZZLEB51,math-analogies-level-1,16
PUZZLEB52,building-thinking-skills-level-1,304
PUZZLEC1,smarty-pants-puzzles-level-1,4
PUZZLEC2,balance-benders-level-1,9
PUZZLEC3,the-basics-of-critical-thinking,85
PUZZLEC4,editor-in-chief-level-1,52
PUZZLEC5,mind-benders-level-3,14
PUZZLEC6,writing-detective-level-1,31
PUZZLEC7,balance-math-&-more-level-2,14
PUZZLEC8,building-thinking-skills-level-2,23
PUZZLEC9,reading-detective-beginning,18
PUZZLEC10,mathematical-reasoning-level-e,165
PUZZLEC11,language-smarts-level-e,14
PUZZLEC12,word-roots-level-1,1
PUZZLEC13,math-analogies-level-2,5
PUZZLEC14,inference-jones-level-1,4
PUZZLEC15,crypto-mind-benders-classic-jokes,2
PUZZLEC16,dr-dooriddles-b1,8
PUZZLEC17,jumbles,5
PUZZLEC18,building-thinking-skills-level-2,341
PUZZLEC19,balance-benders-level-1,5
PUZZLEC20,smarty-pants-puzzles-level-1,3
PUZZLEC21,dr-funsters-think-a-minutes-b1,20
PUZZLEC22,the-basics-of-critical-thinking,16
PUZZLEC23,editor-in-chief-level-1,18
PUZZLEC24,mind-benders-level-3,3
PUZZLEC25,writing-detective-level-1,10
PUZZLEC26,balance-benders-level-1,15
PUZZLEC27,building-thinking-skills-level-2,34
PUZZLEC28,reading-detective-beginning,24
PUZZLEC29,mathematical-reasoning-level-e,19
PUZZLEC30,language-smarts-level-e,28
PUZZLEC31,word-roots-level-1,14
PUZZLEC32,math-analogies-level-2,13
PUZZLEC33,inference-jones-level-1,12
PUZZLEC34,crypto-mind-benders-classic-jokes,24
PUZZLEC35,dr-dooriddles-b1,19
PUZZLEC36,jumbles,23
PUZZLEC37,dr-funsters-think-a-minutes-b1,14
PUZZLEC38,building-thinking-skills-level-2,233
PUZZLEC39,balance-benders-level-1,8
PUZZLEC40,smarty-pants-puzzles-level-1,10
PUZZLEC41,balance-benders-level-1,17
PUZZLEC42,the-basics-of-critical-thinking,28
PUZZLEC43,editor-in-chief-level-1,21
PUZZLEC44,mind-benders-level-3,23
PUZZLEC45,vocabulary-virtuoso-elementary-school-vocabulary-for-academic-success,1
PUZZLEC46,balance-math-&-more-level-2,8
PUZZLEC47,building-thinking-skills-level-2,300
PUZZLEC48,reading-detective-a1,16
PUZZLEC49,mathematical-reasoning-level-e,120
PUZZLEC50,language-smarts-level-e,130
PUZZLEC51,word-roots-level-1,5
PUZZLEC52,math-analogies-level-2,35
PUZZLED1,smarty-pants-puzzles-level-1,4
PUZZLED2,pattern-explorer-level-1,17
PUZZLED3,editor-in-chief-level-2,55
PUZZLED4,dr-funsters-think-a-minutes-c1,18
PUZZLED5,building-thinking-skills-level-3-verbal,257
PUZZLED6,mind-benders-level-5,3
PUZZLED7,balance-benders-level-2,29
PUZZLED8,the-basics-of-critical-thinking,58
PUZZLED9,balance-math-&-more-level-3,2
PUZZLED10,building-thinking-skills-level-3-verbal,17
PUZZLED11,reading-detective-b1,6
PUZZLED12,daily-mind-builders-language-arts,16
PUZZLED13,building-thinking-skills-level-3-figural,19
PUZZLED14,pattern-explorer-level-2,10
PUZZLED15,dr-funsters-visual-mind-benders-b1,10
PUZZLED16,crypto-mind-benders-classic-jokes,21
PUZZLED17,math-analogies-level-3,18
PUZZLED18,smarty-pants-puzzles-level-1,9
PUZZLED19,balance-benders-level-2,11
PUZZLED20,the-basics-of-critical-thinking,85
PUZZLED21,editor-in-chief-level-1,100
PUZZLED22,mind-benders-level-5,2
PUZZLED23,vocabulary-virtuoso-mastering-middle-school-vocabulary,21
PUZZLED24,balance-math-&-more-level-3,8
PUZZLED25,building-thinking-skills-level-3-verbal,28
PUZZLED26,reading-detective-b1,26
PUZZLED27,building-thinking-skills-level-3-verbal,75
PUZZLED28,building-thinking-skills-level-3-figural,114
PUZZLED29,pattern-explorer-level-2,13
PUZZLED30,dr-funsters-visual-mind-benders-b1,18
PUZZLED31,crypto-mind-benders-classic-jokes,26
PUZZLED32,math-analogies-level-4,2
PUZZLED33,smarty-pants-puzzles-level-1,10
PUZZLED34,balance-benders-level-2,17
PUZZLED35,the-basics-of-critical-thinking,87
PUZZLED36,editor-in-chief-level-2,21
PUZZLED37,mind-benders-level-5,7
PUZZLED38,writing-detective-level-1,16
PUZZLED39,balance-math-&-more-level-3,11
PUZZLED40,building-thinking-skills-level-3-verbal,45
PUZZLED41,reading-detective-b1,40
PUZZLED42,building-thinking-skills-level-3-verbal,92
PUZZLED43,building-thinking-skills-level-3-figural,91
PUZZLED44,pattern-explorer-level-2,17
PUZZLED45,dr-funsters-visual-mind-benders-b1,22
PUZZLED46,crypto-mind-benders-classic-jokes,29
PUZZLED47,math-analogies-level-4,6
PUZZLED48,smarty-pants-puzzles-level-1,16
PUZZLED49,balance-benders-level-2,21
PUZZLED50,the-basics-of-critical-thinking,124
PUZZLED51,editor-in-chief-level-2,89
PUZZLED52,mind-benders-level-5,14
